Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.19,-0.17,-0.2,-0.02,0.0,0.01,1688553168.4375865
-0.24,-0.27,-0.19,-0.02,0.0,0.01,1688553168.5336423
-0.3,-0.08,-0.17,-0.01,0.01,0.01,1688553168.629604
-0.25,-0.12,-0.14,-0.01,0.0,0.01,1688553168.7095451
-0.23,-0.15,-0.18,-0.01,0.0,0.01,1688553168.8055403
-0.26,-0.08,-0.15,-0.01,0.0,0.01,1688553168.901537
-0.25,-0.15,-0.2,-0.01,0.01,0.01,1688553168.9975488
-0.25,-0.02,-0.18,-0.01,0.0,0.01,1688553169.0936775
-0.2,-0.1,-0.27,-0.01,0.01,0.01,1688553169.1855443
-0.29,-0.27,-0.33,-0.01,0.01,0.01,1688553169.2695272
-0.3,-0.29,-0.36,-0.01,0.01,0.01,1688553169.3495407
-0.1,-0.4,-0.5,-0.01,0.01,0.01,1688553169.4455934
-0.16,-0.45,-0.63,-0.01,0.01,0.0,1688553169.525418
-0.01,-0.51,-0.76,-0.0,0.01,0.0,1688553169.621794
-0.12,-0.57,-0.67,0.0,0.01,0.0,1688553169.7177057
-0.1,-0.54,-0.65,0.0,0.01,0.0,1688553169.8135161
0.04,-0.46,-0.65,0.01,0.01,0.0,1688553169.8936996
-0.07,-0.32,-0.65,0.01,0.01,-0.0,1688553169.9857478
-0.1,-0.35,-0.62,0.01,0.01,-0.0,1688553170.0693767
0.04,-0.25,-0.56,0.01,0.01,-0.0,1688553170.149617
0.11,-0.11,-0.64,0.01,0.01,0.0,1688553170.2457016
0.0,0.38,-0.74,0.01,0.02,0.02,1688553170.3416195
-0.34,0.27,-0.68,0.0,0.02,0.01,1688553170.4376247
-0.42,0.26,-0.83,0.0,0.02,0.01,1688553170.5335019
-0.3,0.29,-0.81,-0.0,0.01,0.01,1688553170.6297588
-0.37,0.47,-0.9,-0.0,0.02,0.01,1688553170.725465
-0.32,0.4,-1.0,-0.01,0.01,0.01,1688553170.821493
