Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-2.3,-0.68,-0.58,-0.03,0.01,0.01,1688132749.444149
-2.22,-0.51,-0.71,-0.03,0.02,0.01,1688132749.5400743
-2.1,-0.55,-0.73,-0.03,0.02,0.01,1688132749.636099
-2.26,-0.8,-0.71,-0.03,0.01,0.01,1688132749.732174
-2.5,-0.92,-0.7,-0.03,0.01,0.0,1688132749.8281455
-2.3,-1.18,-0.8,-0.03,0.01,0.0,1688132749.9240918
-1.8,-1.49,-0.88,-0.02,0.01,-0.01,1688132750.0039434
-0.74,-1.4,-0.94,-0.02,0.01,-0.01,1688132750.0840168
-0.19,-0.97,-0.97,-0.02,0.02,0.0,1688132750.1637957
0.36,-0.83,-1.13,-0.02,0.03,0.01,1688132750.2439356
0.06,-0.43,-1.09,-0.02,0.03,0.01,1688132750.3240747
0.04,-0.52,-1.06,-0.03,0.03,0.01,1688132750.403946
-0.53,-0.32,-0.88,-0.03,0.03,0.01,1688132750.483992
-0.8,-0.32,-0.92,-0.04,0.03,0.02,1688132750.5801663
-1.26,-0.31,-0.97,-0.04,0.02,0.02,1688132750.6761296
-1.55,-1.13,-1.32,-0.03,0.01,0.01,1688132750.7720802
-1.61,-1.75,-1.87,-0.02,0.01,0.01,1688132750.8679929
-0.46,-1.9,-1.99,0.0,0.01,0.01,1688132750.96402
0.38,-1.69,-2.21,0.01,0.02,0.01,1688132751.060014
0.91,-1.19,-2.27,0.01,0.04,0.02,1688132751.1361225
1.58,-0.12,-2.4,-0.0,0.07,0.03,1688132751.2161465
0.4,0.21,-1.57,-0.02,0.05,0.03,1688132751.2999873
-0.7,0.08,-1.15,-0.03,0.03,0.03,1688132751.3760207
-1.25,-0.05,-1.37,-0.04,0.03,0.02,1688132751.475959
-1.89,-0.58,-1.67,-0.03,0.02,0.01,1688132751.5557086
-1.44,-1.54,-1.66,-0.02,0.01,0.01,1688132751.6359627
-0.67,-1.71,-1.7,-0.0,0.01,0.0,1688132751.7159088
0.2,-1.25,-1.67,0.0,0.02,0.01,1688132751.8120368
0.86,-1.08,-2.16,0.01,0.04,0.02,1688132751.9080951
1.38,-0.91,-2.55,0.01,0.07,0.03,1688132752.0041008
-0.13,-0.33,-2.56,0.03,0.05,0.0,1688132752.1000738
-1.63,-1.22,-1.95,0.01,0.02,-0.01,1688132752.1960604
-2.07,-1.15,-2.27,0.01,0.01,-0.02,1688132752.2760053
-1.96,-1.2,-2.04,0.02,0.0,-0.01,1688132752.372019
1.54,-0.92,-2.64,0.02,0.04,0.04,1688132752.4521296
0.86,-0.64,-2.37,0.01,0.05,0.02,1688132752.5320508
0.65,-0.83,-2.31,0.0,0.06,0.02,1688132752.6118457
-1.56,-1.03,-1.71,0.0,0.03,-0.01,1688132752.6920261
-1.75,-0.77,-1.71,-0.0,0.02,-0.01,1688132752.7720675
-1.75,-0.66,-1.61,-0.01,0.01,-0.01,1688132752.85186
-1.0,0.09,-1.26,-0.03,0.02,0.0,1688132752.9320085
-0.56,0.01,-1.16,-0.04,0.02,0.01,1688132753.0079823
-0.44,-0.22,-1.12,-0.05,0.02,0.01,1688132753.0918581
0.14,-1.56,-1.48,-0.02,0.01,0.0,1688132753.1716273
-0.32,-1.43,-1.69,-0.0,0.01,0.0,1688132753.2679114
-1.07,-1.09,-1.6,0.01,0.02,-0.0,1688132753.364109
-0.69,-0.14,-1.08,-0.04,0.02,0.01,1688132753.456126
-0.43,-0.21,-1.12,-0.05,0.02,0.01,1688132753.5397658
-1.06,-0.78,-1.29,-0.04,0.02,0.01,1688132753.6197867
-0.79,-1.67,-1.61,-0.02,0.01,0.01,1688132753.7001636
-0.81,-1.85,-1.77,-0.02,0.01,0.01,1688132753.7960277
-1.85,-1.42,-1.49,-0.02,0.0,0.01,1688132753.8759887
-1.8,-1.67,-1.41,-0.01,-0.01,0.01,1688132753.955946
0.68,-1.37,-1.97,-0.01,0.02,0.02,1688132754.0358531
0.48,-0.93,-1.91,-0.01,0.03,0.01,1688132754.1159816
0.61,-0.57,-2.02,-0.02,0.04,0.02,1688132754.1960034
-0.28,0.07,-1.45,-0.04,0.04,0.02,1688132754.2758567
-0.95,0.29,-1.43,-0.05,0.04,0.02,1688132754.3558326
-0.96,-0.66,-0.92,-0.04,0.02,0.02,1688132754.436121
-1.4,-0.89,-1.13,-0.04,0.02,0.02,1688132754.5320957
-0.93,-1.31,-1.18,-0.02,0.01,0.01,1688132754.6082432
-0.52,-1.54,-1.34,-0.02,0.01,0.01,1688132754.6920881
-0.12,-1.24,-1.44,-0.01,0.01,0.01,1688132754.772116
0.08,-0.74,-1.57,-0.02,0.03,0.01,1688132754.8681414
-0.56,0.4,-1.39,-0.03,0.02,0.01,1688132754.9480157
