Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.04,-0.03,-0.32,0.0,-0.0,0.01,1688474339.9139986
0.06,0.01,-0.28,0.0,-0.01,0.01,1688474339.9940681
0.07,0.03,-0.29,0.0,-0.01,0.01,1688474340.0740688
0.04,0.12,-0.43,-0.0,-0.0,0.01,1688474340.1540236
0.04,-0.13,-0.63,0.0,0.01,0.01,1688474340.2298577
-0.11,-0.33,-1.03,0.0,0.01,0.0,1688474340.2979295
-0.07,-0.75,-1.41,0.01,0.02,-0.01,1688474340.378082
0.19,-1.0,-1.77,0.02,0.04,-0.01,1688474340.4580495
0.31,-0.88,-1.64,0.02,0.04,-0.01,1688474340.53802
0.23,-0.56,-1.22,0.02,0.02,0.0,1688474340.6180708
0.09,0.07,-0.81,0.01,0.01,0.01,1688474340.6981046
0.09,0.57,-1.03,-0.0,0.02,0.02,1688474340.7941282
-0.04,0.78,-1.14,-0.01,0.03,0.03,1688474340.8742576
0.12,0.85,-1.34,-0.01,0.02,0.02,1688474340.970135
0.16,-0.7,-1.39,0.01,0.03,-0.0,1688474341.0502138
0.08,-0.79,-1.64,0.02,0.03,-0.01,1688474341.1460683
0.12,-0.69,-1.37,0.02,0.03,-0.0,1688474341.2261617
0.07,0.14,-0.92,0.01,0.01,0.01,1688474341.306265
-0.01,0.61,-0.99,-0.0,0.02,0.02,1688474341.3822954
0.31,0.84,-1.16,-0.01,0.03,0.03,1688474341.4621172
0.17,0.59,-0.87,-0.01,0.02,0.02,1688474341.546101
0.4,0.41,-1.1,-0.01,0.03,0.02,1688474341.6222024
0.18,-0.27,-1.3,0.0,0.03,0.0,1688474341.6860733
0.23,-0.55,-1.32,0.01,0.02,0.0,1688474341.7541559
0.28,-0.73,-1.37,0.02,0.02,-0.0,1688474341.8340714
0.16,-0.71,-1.22,0.02,0.02,0.0,1688474341.9137247
0.28,-0.57,-1.04,0.02,0.02,0.0,1688474341.9942503
0.08,0.13,-0.78,0.01,0.02,0.02,1688474342.074055
0.1,0.47,-0.81,-0.0,0.02,0.02,1688474342.1540687
0.04,0.36,-0.98,-0.0,0.02,0.02,1688474342.2342596
0.18,0.52,-0.99,-0.01,0.02,0.02,1688474342.3141613
0.67,0.37,-1.28,-0.01,0.04,0.02,1688474342.3942273
0.31,-0.33,-1.26,0.01,0.03,0.0,1688474342.4702425
0.12,-0.57,-1.11,0.01,0.03,-0.0,1688474342.5660894
0.05,-0.68,-1.19,0.02,0.02,-0.01,1688474342.634057
0.04,-0.49,-1.1,0.02,0.02,-0.0,1688474342.7140827
0.25,-0.42,-1.04,0.02,0.02,-0.0,1688474342.7944884
-0.06,0.09,-0.72,0.01,0.01,0.01,1688474342.8740637
0.05,0.36,-0.66,0.0,0.01,0.02,1688474342.9537196
0.03,0.59,-0.97,-0.0,0.02,0.02,1688474343.0340362
0.06,0.58,-0.79,-0.01,0.02,0.02,1688474343.118227
0.07,0.59,-0.74,-0.01,0.01,0.02,1688474343.1941993
0.19,0.1,-0.9,-0.01,0.02,0.01,1688474343.2742577
0.07,-0.41,-0.96,0.0,0.02,0.0,1688474343.3541899
0.07,-0.66,-1.22,0.01,0.02,-0.0,1688474343.4341753
0.05,-0.73,-1.25,0.02,0.02,-0.0,1688474343.5142207
0.27,-0.62,-1.28,0.02,0.02,-0.0,1688474343.5901887
0.29,-0.63,-1.28,0.02,0.03,-0.0,1688474343.674245
0.32,-0.45,-1.09,0.02,0.02,0.0,1688474343.7541232
0.34,-0.23,-1.06,0.02,0.02,0.01,1688474343.83411
0.03,0.35,-0.85,0.01,0.02,0.02,1688474343.9300168
0.06,0.62,-0.93,0.0,0.02,0.02,1688474344.0100493
0.06,0.57,-0.91,-0.0,0.01,0.02,1688474344.0900269
0.05,0.57,-0.83,-0.01,0.01,0.02,1688474344.1741924
0.04,0.65,-0.86,-0.01,0.01,0.02,1688474344.2662182
0.28,-0.18,-1.24,-0.0,0.03,0.0,1688474344.350191
0.02,-0.58,-1.31,0.01,0.03,-0.0,1688474344.4422355
0.18,-0.97,-1.71,0.02,0.04,-0.01,1688474344.526218
0.31,-0.87,-1.64,0.03,0.04,-0.01,1688474344.6223326
0.22,-0.8,-1.52,0.03,0.04,-0.0,1688474344.71826
0.27,-0.68,-1.34,0.03,0.03,0.0,1688474344.8103173
0.0,-0.03,-0.89,0.01,0.02,0.01,1688474344.8902173
0.06,0.37,-0.85,0.0,0.02,0.02,1688474344.9741263
-0.01,0.52,-0.89,-0.0,0.02,0.02,1688474345.0661018
0.04,0.4,-0.94,-0.01,0.02,0.02,1688474345.1461337
0.1,0.55,-0.93,-0.01,0.02,0.02,1688474345.2259984
0.36,0.67,-1.06,-0.01,0.03,0.02,1688474345.3060067
0.41,-0.13,-1.16,0.0,0.03,0.01,1688474345.3857117
0.18,-0.53,-1.11,0.01,0.03,0.0,1688474345.4662778
0.07,-0.63,-1.09,0.01,0.02,-0.0,1688474345.5502532
0.14,-0.54,-1.16,0.02,0.03,-0.0,1688474345.6420884
0.21,-0.53,-1.15,0.02,0.03,0.0,1688474345.7262325
0.21,-0.59,-1.09,0.02,0.03,0.0,1688474345.8222604
0.16,-0.58,-1.12,0.03,0.03,-0.0,1688474345.9182208
0.16,-0.27,-0.98,0.02,0.03,0.01,1688474346.0142343
-0.03,0.51,-0.49,0.0,0.01,0.03,1688474346.1102026
