Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-2.16,-0.35,-0.94,-0.03,0.0,0.03,1688132597.4481142
-2.32,-0.47,-1.05,-0.03,0.01,0.03,1688132597.5440683
-2.27,-0.35,-1.01,-0.03,0.01,0.03,1688132597.6400971
-2.13,-0.21,-1.08,-0.03,0.01,0.03,1688132597.7320778
-2.41,-0.14,-1.09,-0.04,0.01,0.04,1688132597.8120828
-2.5,-0.11,-1.16,-0.03,0.01,0.04,1688132597.8919175
-2.69,-0.01,-1.11,-0.04,0.01,0.04,1688132597.9721274
-2.68,0.14,-1.08,-0.03,0.01,0.05,1688132598.0521386
-2.32,-0.16,-1.1,-0.03,0.01,0.04,1688132598.1319962
-2.04,-0.13,-1.16,-0.03,0.01,0.04,1688132598.2119434
-1.7,-0.35,-1.26,-0.03,0.02,0.03,1688132598.2920125
-1.18,-0.61,-1.27,-0.03,0.02,0.02,1688132598.376079
-0.56,-0.77,-1.16,-0.03,0.02,0.01,1688132598.451891
-0.24,-0.93,-1.03,-0.03,0.02,0.01,1688132598.5321348
-0.3,-0.85,-0.96,-0.03,0.02,0.01,1688132598.6119864
-0.29,-0.78,-0.86,-0.03,0.01,0.01,1688132598.6918592
-0.36,-0.81,-0.91,-0.03,0.01,0.01,1688132598.7716894
-0.55,-0.89,-0.87,-0.02,0.01,0.01,1688132598.8518293
-0.85,-0.79,-0.9,-0.03,0.01,0.01,1688132598.931972
-0.89,-0.63,-0.9,-0.03,0.01,0.01,1688132599.0121431
-1.37,-0.48,-0.89,-0.03,0.0,0.01,1688132599.0918915
-1.05,-0.7,-0.98,-0.03,0.01,0.01,1688132599.171863
-0.48,-0.75,-0.98,-0.03,0.01,0.01,1688132599.2520115
-0.39,-0.87,-0.95,-0.03,0.01,0.01,1688132599.3320708
-0.34,-0.85,-0.95,-0.03,0.01,0.01,1688132599.4120247
-0.31,-0.79,-0.9,-0.02,0.02,0.01,1688132599.4920056
-0.32,-0.77,-0.86,-0.03,0.01,0.01,1688132599.5716245
-0.4,-0.6,-0.87,-0.02,0.01,0.01,1688132599.652002
-0.71,-0.65,-0.89,-0.03,0.01,0.01,1688132599.7316177
-0.67,-0.63,-0.9,-0.03,0.01,0.01,1688132599.8120384
-0.85,-0.56,-0.85,-0.04,0.01,0.01,1688132599.891592
-0.75,-0.37,-0.9,-0.03,0.01,0.02,1688132599.9720578
-0.71,-0.83,-0.94,-0.03,0.01,0.01,1688132600.0557218
